["Aspen Aspen-1 Green-Top W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_aspen-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_aspen-1.29568.asc.txt"]
["Aspen Aspen-2 Green-Bottom W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_aspen-2.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_aspen-2.29590.asc.txt"]
["Aspen Aspen-3 YellowGreenTop W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_aspen-3.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_aspen-3.29612.asc.txt"]
["Aspen Aspen-4 Yellow-Top W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_aspen-4.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_aspen-4.29634.asc.txt"]
["Aspen YNP-AS-1 W1R1Ab RTGC","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_ynp-as-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_ynp-as-1.29656.asc.txt"]
["Aspen_Leaf-A DW92-2 W1R1Ba AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspen_leaf_dw92-2.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspen_leaf_dw92-2.29665.asc.txt"]
["Aspen_Leaf-B DW92-3 W1R1Ba AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/aspena_dw92-3.veg.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/aspena_dw92-3.veg.29675.asc.txt"]
["Bacterial-Mat YNP-B1 W1R1Ab RTGC","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/bacterial-mat_ynp-b1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/bacterial-mat_ynp-b1.29686.asc.txt"]
["Blackbrush ANP92-9A leaves W1R1Ba AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/blackbrush_anp92-1a_veg.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/blackbrush_anp92-1a_veg.29695.asc.txt"]
["Blue_Spruce DW92-5 needle W1R1Ba AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/bluespruce_dw92-5.veg.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/bluespruce_dw92-5.veg.29705.asc.txt"]
["Cactus Opuntia-1 Purple_pad W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/cactus_opuntia-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/cactus_opuntia-1.29715.asc.txt"]
["Cattail YNP-CT-1 W1R1Ab RTGC","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/cattail_ynp-ct-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/cattail_ynp-ct-1.29735.asc.txt"]
["Cheatgrass ANP92-11A W1R1Ba AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/cheatgrass_anp92-11a_veg.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/cheatgrass_anp92-11a_veg.29744.asc.txt"]
["Cheatgrass ANPC1 field Calib W1R1Fa AREF","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/cheatgrass_anpc1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/cheatgrass_anpc1.29754.asc.txt"]
["Conifer-Meadow-Mix YNP-CM-1 W1R1Ab RTGC","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/conifer_meadow-mix_ynp-cm-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/conifer_meadow-mix_ynp-cm-1.29776.asc.txt"]
["Douglas-Fir YNP-DF-1 W1R1Ab RTGC","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/DESCRIPT/V/douglas_fir_ynp-df-1.html","https://archive.usgs.gov/archive/sites/speclab.cr.usgs.gov/spectral.lib06/ds231/ASCII/V/douglas_fir_ynp-df-1.29785.asc.txt"]
